2026-05-21 10:03:05 | INFO     | spider.longchau | Lấy danh sách trang 21: https://nhathuoclongchau.com.vn/thuoc?page=21
2026-05-21 10:03:09 | INFO     | spider.longchau | Trang 21: 11 sản phẩm
2026-05-21 10:03:09 | INFO     | spider.longchau | Lấy danh sách trang 22: https://nhathuoclongchau.com.vn/thuoc?page=22
2026-05-21 10:03:13 | INFO     | spider.longchau | Trang 22: 11 sản phẩm
2026-05-21 10:03:13 | INFO     | spider.longchau | Lấy danh sách trang 23: https://nhathuoclongchau.com.vn/thuoc?page=23
2026-05-21 10:03:16 | INFO     | spider.longchau | Trang 23: 11 sản phẩm
2026-05-21 10:03:16 | INFO     | spider.longchau | Lấy danh sách trang 24: https://nhathuoclongchau.com.vn/thuoc?page=24
2026-05-21 10:03:19 | INFO     | spider.longchau | Trang 24: 11 sản phẩm
2026-05-21 10:03:19 | INFO     | spider.longchau | Lấy danh sách trang 25: https://nhathuoclongchau.com.vn/thuoc?page=25
2026-05-21 10:03:23 | INFO     | spider.longchau | Trang 25: 11 sản phẩm
2026-05-21 10:03:23 | INFO     | spider.longchau | Lấy danh sách trang 26: https://nhathuoclongchau.com.vn/thuoc?page=26
2026-05-21 10:03:26 | INFO     | spider.longchau | Trang 26: 11 sản phẩm
2026-05-21 10:03:26 | INFO     | spider.longchau | Lấy danh sách trang 27: https://nhathuoclongchau.com.vn/thuoc?page=27
2026-05-21 10:03:29 | INFO     | spider.longchau | Trang 27: 11 sản phẩm
2026-05-21 10:03:29 | INFO     | spider.longchau | Lấy danh sách trang 28: https://nhathuoclongchau.com.vn/thuoc?page=28
2026-05-21 10:03:33 | INFO     | spider.longchau | Trang 28: 11 sản phẩm
2026-05-21 10:03:33 | INFO     | spider.longchau | Lấy danh sách trang 29: https://nhathuoclongchau.com.vn/thuoc?page=29
2026-05-21 10:03:36 | INFO     | spider.longchau | Trang 29: 11 sản phẩm
2026-05-21 10:03:36 | INFO     | spider.longchau | Lấy danh sách trang 30: https://nhathuoclongchau.com.vn/thuoc?page=30
2026-05-21 10:03:40 | INFO     | spider.longchau | Trang 30: 11 sản phẩm
2026-05-21 10:03:40 | INFO     | spider.longchau | Lấy danh sách trang 31: https://nhathuoclongchau.com.vn/thuoc?page=31
2026-05-21 10:03:45 | INFO     | spider.longchau | Trang 31: 11 sản phẩm
2026-05-21 10:03:45 | INFO     | spider.longchau | Lấy danh sách trang 32: https://nhathuoclongchau.com.vn/thuoc?page=32
2026-05-21 10:03:48 | INFO     | spider.longchau | Trang 32: 11 sản phẩm
2026-05-21 10:03:48 | INFO     | spider.longchau | Lấy danh sách trang 33: https://nhathuoclongchau.com.vn/thuoc?page=33
2026-05-21 10:03:52 | INFO     | spider.longchau | Trang 33: 11 sản phẩm
2026-05-21 10:03:52 | INFO     | spider.longchau | Lấy danh sách trang 34: https://nhathuoclongchau.com.vn/thuoc?page=34
2026-05-21 10:03:55 | INFO     | spider.longchau | Trang 34: 11 sản phẩm
2026-05-21 10:03:55 | INFO     | spider.longchau | Lấy danh sách trang 35: https://nhathuoclongchau.com.vn/thuoc?page=35
2026-05-21 10:03:58 | INFO     | spider.longchau | Trang 35: 11 sản phẩm
2026-05-21 10:03:58 | INFO     | spider.longchau | Lấy danh sách trang 36: https://nhathuoclongchau.com.vn/thuoc?page=36
2026-05-21 10:04:02 | INFO     | spider.longchau | Trang 36: 11 sản phẩm
2026-05-21 10:04:02 | INFO     | spider.longchau | Lấy danh sách trang 37: https://nhathuoclongchau.com.vn/thuoc?page=37
2026-05-21 10:04:06 | INFO     | spider.longchau | Trang 37: 11 sản phẩm
2026-05-21 10:04:06 | INFO     | spider.longchau | Lấy danh sách trang 38: https://nhathuoclongchau.com.vn/thuoc?page=38
2026-05-21 10:04:09 | INFO     | spider.longchau | Trang 38: 11 sản phẩm
2026-05-21 10:04:09 | INFO     | spider.longchau | Lấy danh sách trang 39: https://nhathuoclongchau.com.vn/thuoc?page=39
2026-05-21 10:04:13 | INFO     | spider.longchau | Trang 39: 11 sản phẩm
2026-05-21 10:04:13 | INFO     | spider.longchau | Lấy danh sách trang 40: https://nhathuoclongchau.com.vn/thuoc?page=40
2026-05-21 10:04:16 | INFO     | spider.longchau | Trang 40: 11 sản phẩm
2026-05-21 10:04:16 | INFO     | spider.longchau | Lấy danh sách trang 41: https://nhathuoclongchau.com.vn/thuoc?page=41
2026-05-21 10:04:21 | INFO     | spider.longchau | Trang 41: 11 sản phẩm
2026-05-21 10:04:21 | INFO     | spider.longchau | Lấy danh sách trang 42: https://nhathuoclongchau.com.vn/thuoc?page=42
2026-05-21 10:04:24 | INFO     | spider.longchau | Trang 42: 11 sản phẩm
2026-05-21 10:04:24 | INFO     | spider.longchau | Lấy danh sách trang 43: https://nhathuoclongchau.com.vn/thuoc?page=43
2026-05-21 10:04:27 | INFO     | spider.longchau | Trang 43: 11 sản phẩm
2026-05-21 10:04:27 | INFO     | spider.longchau | Lấy danh sách trang 44: https://nhathuoclongchau.com.vn/thuoc?page=44
2026-05-21 10:04:30 | INFO     | spider.longchau | Trang 44: 11 sản phẩm
2026-05-21 10:04:30 | INFO     | spider.longchau | Lấy danh sách trang 45: https://nhathuoclongchau.com.vn/thuoc?page=45
2026-05-21 10:04:33 | INFO     | spider.longchau | Trang 45: 11 sản phẩm
2026-05-21 10:04:33 | INFO     | spider.longchau | Lấy danh sách trang 46: https://nhathuoclongchau.com.vn/thuoc?page=46
2026-05-21 10:04:36 | INFO     | spider.longchau | Trang 46: 11 sản phẩm
2026-05-21 10:04:36 | INFO     | spider.longchau | Lấy danh sách trang 47: https://nhathuoclongchau.com.vn/thuoc?page=47
